,Unnamed: 0,rank,title,score,scored_by_users,type,episodes,status,aired,premiered,broadcast,producers,licensors,studios,source,genres,theme,demographic,duration,rating,popularity,url
5329,5329,5730,Kage kara Mamoru!,6.59,10861,TV,12,Finished Airing,"Jan 8, 2006 to Mar 26, 2006",Winter 2006,Unknown,"Aniplex, Studio Tulip, Tohokushinsha Film Corporation",Sentai Filmworks,Group TAC,Light novel,"Comedy, Romance",,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,3740,https://myanimelist.net/anime/590/Kage_kara_Mamoru
5330,5330,5731,Kemono Friends: Bus-teki,6.59,1940,ONA,1,Finished Airing,"Apr 4, 2017",,,"None found, add some","None found, add some",Yaoyorozu,Game,"Comedy, Fantasy",,,2 min.,PG - Children,7081,https://myanimelist.net/anime/35347/Kemono_Friends__Bus-teki
5331,5331,5732,Kinnikuman II Sei: Muscle Ninjin Soudatsu sen! Choujin Daisensou,6.59,324,Movie,1,Finished Airing,"Jul 20, 2002",,,"None found, add some","None found, add some",Toei Animation,Unknown,"Action, Comedy, Drama, Romance",,,40 min.,PG-13 - Teens 13 or older,11101,https://myanimelist.net/anime/12279/Kinnikuman_II_Sei__Muscle_Ninjin_Soudatsu_sen_Choujin_Daisensou
5332,5332,5733,Kita e.: Diamond Dust Drops,6.59,2340,TV,12,Finished Airing,"Jan 20, 2004 to Apr 5, 2004",Winter 2004,Unknown,"None found, add some",ADV Films,Studio Deen,Visual novel,"Drama, Romance, Slice of Life",,,24 min. per ep.,PG-13 - Teens 13 or older,5846,https://myanimelist.net/anime/148/Kita_e__Diamond_Dust_Drops
5333,5333,5734,M3: Sono Kuroki Hagane,6.59,15809,TV,24,Finished Airing,"Apr 22, 2014 to Sep 30, 2014",Spring 2014,Tuesdays at 01:35 (JST),"Sotsu, Magic Capsule, flying DOG, C2C, Happinet Pictures, Bandai Namco Games, Mobcast","None found, add some",Satelight,Original,"Action, Drama, Mystery, Sci-Fi",,,24 min. per ep.,R - 17+ (violence & profanity),2478,https://myanimelist.net/anime/23133/M3__Sono_Kuroki_Hagane
5334,5334,5735,3 Choume no Tama: Uchi no Tama Shirimasen ka?,6.58,878,TV,36,Finished Airing,"Nov 21, 1988 to Sep 25, 1994",Fall 1988,Unknown,"Aniplex, 4Kids Entertainment","None found, add some",Group TAC,Unknown,,,,23 min. per ep.,G - All Ages,9272,https://myanimelist.net/anime/2467/3_Choume_no_Tama__Uchi_no_Tama_Shirimasen_ka
5335,5335,5736,Ai Monogatari: 9 Love Stories,6.58,1312,OVA,1,Finished Airing,"Apr 2, 1993",,,"None found, add some","None found, add some",Studio Deen,Unknown,"Drama, Romance",,,1 hr. 32 min.,PG-13 - Teens 13 or older,7670,https://myanimelist.net/anime/2387/Ai_Monogatari__9_Love_Stories
5336,5336,5737,Anime de Wakaru Shinryounaika,6.58,15328,ONA,20,Finished Airing,"Feb 13, 2015 to Jun 26, 2015",,,"None found, add some","None found, add some",Shin-Ei Animation,Manga,,,Seinen,5 min. per ep.,PG-13 - Teens 13 or older,2910,https://myanimelist.net/anime/27911/Anime_de_Wakaru_Shinryounaika
5337,5337,5738,Asobot Senki Gokuu,6.58,907,TV,52,Finished Airing,"Oct 1, 2002 to Sep 30, 2003",Fall 2002,Tuesdays at 18:30 (JST),TV Tokyo,"None found, add some",Studio Egg,Manga,"Action, Adventure, Comedy, Sci-Fi",,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,8542,https://myanimelist.net/anime/3193/Asobot_Senki_Gokuu
5338,5338,5739,Bakuten Shoot Beyblade the Movie: Gekitou!! Takao vs. Daichi,6.58,5622,Movie,1,Finished Airing,"Aug 17, 2002",,,"Yomiko Advertising, d-rights",Nelvana,Nippon Animation,Manga,"Action, Adventure, Comedy, Sci-Fi, Sports",,Shounen,1 hr. 10 min.,G - All Ages,5442,https://myanimelist.net/anime/1670/Bakuten_Shoot_Beyblade_the_Movie__Gekitou_Takao_vs_Daichi
5339,5339,5740,Battle Spirits: Sword Eyes,6.58,614,TV,29,Finished Airing,"Sep 9, 2012 to Mar 31, 2013",Fall 2012,Unknown,Nagoya Broadcasting Network,"None found, add some",Sunrise,Card game,"Adventure, Fantasy",Game,,25 min. per ep.,PG - Children,9278,https://myanimelist.net/anime/14913/Battle_Spirits__Sword_Eyes
