,Unnamed: 0,rank,title,score,scored_by_users,type,episodes,status,aired,premiered,broadcast,producers,licensors,studios,source,genres,theme,demographic,duration,rating,popularity,url
2318,2318,3019,Tonikaku Kawaii: Kaisou,7.18,18363,Special,1,Finished Airing,"Dec 26, 2020",,,"None found, add some","None found, add some",Seven Arcs,Manga,"Comedy, Romance",,Shounen,23 min.,PG-13 - Teens 13 or older,3071,https://myanimelist.net/anime/45598/Tonikaku_Kawaii__Kaisou
2319,2319,3020,Tottemo! Luckyman,7.18,1164,TV,50,Finished Airing,"Apr 6, 1994 to Mar 23, 1995",Spring 1994,Thursdays at 19:00 (JST),"TV Tokyo, Yomiko Advertising, TV Tokyo Music","None found, add some",Studio Pierrot,Manga,"Comedy, Sci-Fi",Super Power,Shounen,24 min. per ep.,G - All Ages,9158,https://myanimelist.net/anime/3672/Tottemo_Luckyman
2320,2320,3021,Vandread,7.18,40713,TV,13,Finished Airing,"Oct 3, 2000 to Dec 19, 2000",Fall 2000,Tuesdays at 18:30 (JST),"GDH, Dentsu, Media Factory","Funimation, Geneon Entertainment USA",Gonzo,Original,"Action, Sci-Fi, Ecchi",,Shounen,22 min. per ep.,PG-13 - Teens 13 or older,1985,https://myanimelist.net/anime/180/Vandread
2321,2321,3022,Wu Shang Shen Di 2nd Season,7.18,335,ONA,128,Currently Airing,"May 21, 2021 to ?",,,"None found, add some","None found, add some","None found, add some",Novel,"Action, Adventure, Fantasy, Supernatural",,,7 min. per ep.,PG-13 - Teens 13 or older,11041,https://myanimelist.net/anime/48956/Wu_Shang_Shen_Di_2nd_Season
2322,2322,3023,Mouryou no Hako,7.17,13888,TV,13,Finished Airing,"Oct 8, 2008 to Dec 31, 2008",Fall 2008,Unknown,"VAP, Kadokawa Shoten, Nippon Television Network","None found, add some",Madhouse,Novel,"Mystery, Supernatural, Suspense",Psychological,Seinen,23 min. per ep.,R - 17+ (violence & profanity),2399,https://myanimelist.net/anime/4879/Mouryou_no_Hako
2323,2323,3024,Mr.AFFECTiON,7.17,673,Music,1,Finished Airing,"Dec 16, 2019",,,"None found, add some","None found, add some",Orange,Game,,Music,,3 min.,PG-13 - Teens 13 or older,10543,https://myanimelist.net/anime/40900/MrAFFECTiON
2324,2324,3025,One Piece Movie 5: Norowareta Seiken,7.17,38469,Movie,1,Finished Airing,"Mar 6, 2004",,,"None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy",Super Power,Shounen,1 hr. 35 min.,PG-13 - Teens 13 or older,2171,https://myanimelist.net/anime/463/One_Piece_Movie_5__Norowareta_Seiken
2325,2325,3026,Ookiku Furikabutte: Natsu no Scorebook,7.17,0,OVA,2,Finished Airing,"Mar 24, 2010",,,"None found, add some","None found, add some",A-1 Pictures,Manga,"Comedy, Sports",,,1 hr. 30 min. per ep.,G - All Ages,8071,https://myanimelist.net/anime/8423/Ookiku_Furikabutte__Natsu_no_Scorebook
2326,2326,3027,Pokemon (2019),7.17,20462,TV,16,Currently Airing,"Nov 17, 2019 to ?",Fall 2019,Fridays at 18:55 (JST),"TV Tokyo, Shogakukan-Shueisha Productions, MediaNet",The Pokemon Company International,OLM,Game,"Action, Adventure, Comedy, Fantasy",,Kids,23 min.,PG - Children,2315,https://myanimelist.net/anime/40351/Pokemon_2019
2327,2327,3028,Precure All Stars Movie New Stage 2: Kokoro no Tomodachi,7.17,1738,Movie,1,Finished Airing,"Mar 16, 2013",,,Kinoshita Group Holdings,"None found, add some",Toei Animation,Original,,,,1 hr. 11 min.,G - All Ages,7731,https://myanimelist.net/anime/16442/Precure_All_Stars_Movie_New_Stage_2__Kokoro_no_Tomodachi
2328,2328,3029,Precure All Stars Movie New Stage: Mirai no Tomodachi,7.17,2203,Movie,1,Finished Airing,"Mar 17, 2012",,,Marvelous AQL,"None found, add some",Toei Animation,Original,,,Shoujo,1 hr. 13 min.,G - All Ages,7182,https://myanimelist.net/anime/12221/Precure_All_Stars_Movie_New_Stage__Mirai_no_Tomodachi
2329,2329,3030,Princess Nine: Kisaragi Joshikou Yakyuubu,7.17,3332,TV,26,Finished Airing,"Apr 8, 1998 to Oct 14, 1998",Spring 1998,Wednesdays at 18:00 (JST),NHK,"ADV Films, Nozomi Entertainment",Phoenix Entertainment,Original,"Drama, Romance, Sports",,,25 min. per ep.,PG-13 - Teens 13 or older,5280,https://myanimelist.net/anime/1846/Princess_Nine__Kisaragi_Joshikou_Yakyuubu
2330,2330,3031,Pumpkin Scissors,7.17,14995,TV,24,Finished Airing,"Oct 3, 2006 to Mar 18, 2007",Fall 2006,Tuesdays at 02:00 (JST),"GDH, Sotsu Music Publishing","ADV Films, Funimation","Gonzo, AIC",Manga,"Action, Comedy, Drama",Military,,23 min. per ep.,R - 17+ (violence & profanity),2966,https://myanimelist.net/anime/1538/Pumpkin_Scissors
2331,2331,3032,Seimei no Kagaku: Micro Patrol,7.17,1159,OVA,26,Finished Airing,1986,,,Procidis,"None found, add some",Eiken,Unknown,,,,25 min. per ep.,G - All Ages,9229,https://myanimelist.net/anime/3624/Seimei_no_Kagaku__Micro_Patrol
2332,2332,3033,Shakugan no Shana: Koi to Onsen no Kougai Gakushuu!,7.17,16933,OVA,1,Finished Airing,"Dec 8, 2006",,,"None found, add some",Geneon Entertainment USA,J.C.Staff,Light novel,"Comedy, Fantasy, Romance, Slice of Life, Ecchi",,,25 min.,PG-13 - Teens 13 or older,3218,https://myanimelist.net/anime/1531/Shakugan_no_Shana__Koi_to_Onsen_no_Kougai_Gakushuu
2333,2333,3034,Shin Shirayuki-hime Densetsu Prétear,7.17,26154,TV,13,Finished Airing,"Apr 4, 2001 to Jun 27, 2001",Spring 2001,Wednesdays at 18:30 (JST),"Kadokawa Shoten, Rondo Robe","ADV Films, Funimation",Hal Film Maker,Manga,"Comedy, Drama, Fantasy, Romance",Super Power,Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,2381,https://myanimelist.net/anime/100/Shin_Shirayuki-hime_Densetsu_Prétear
2334,2334,3035,Steins;Gate 0: Kesshou Takei no Valentine - Bittersweet Intermedio,7.17,41965,Special,1,Finished Airing,"Dec 21, 2018",,,"None found, add some",Funimation,White Fox,Visual novel,,,,23 min.,PG-13 - Teens 13 or older,1870,https://myanimelist.net/anime/37492/Steins_Gate_0__Kesshou_Takei_no_Valentine_-_Bittersweet_Intermedio
2335,2335,3036,Tears to Tiara,7.17,27285,TV,26,Finished Airing,"Apr 6, 2009 to Sep 28, 2009",Spring 2009,Unknown,"Dwango, Bushiroad, Showgate, Good Smile Company",Sentai Filmworks,White Fox,Visual novel,"Action, Adventure, Fantasy",,,24 min. per ep.,PG-13 - Teens 13 or older,2041,https://myanimelist.net/anime/3594/Tears_to_Tiara
2336,2336,3037,Terra Formars: Bugs 2-hen,7.17,18623,OVA,2,Finished Airing,"Aug 19, 2014 to Nov 19, 2014",,,"Warner Bros. Japan, Ultra Super Pictures, MAGES., Good Smile Company, Animatic","None found, add some",LIDENFILMS,Manga,"Action, Horror, Sci-Fi",Space,,26 min. per ep.,R - 17+ (violence & profanity),3177,https://myanimelist.net/anime/22689/Terra_Formars__Bugs_2-hen
2337,2337,3038,Toaru Hikuushi e no Koiuta,7.17,37694,TV,13,Finished Airing,"Jan 6, 2014 to Mar 31, 2014",Winter 2014,Unknown,"Bandai Visual, Sotsu, DAX Production, 3xCube, ZERO-A, Sammy, NichiNare, Toppan Printing","NIS America, Inc.",TMS Entertainment,Light novel,"Adventure, Drama, Romance",,,24 min. per ep.,PG-13 - Teens 13 or older,1763,https://myanimelist.net/anime/19117/Toaru_Hikuushi_e_no_Koiuta
2338,2338,3039,Tokyo Marble Chocolate,7.17,10744,OVA,2,Finished Airing,"Dec 5, 2007",,,"Frontier Works, BMG Japan","None found, add some",Production I.G,Original,"Romance, Slice of Life",,,26 min. per ep.,PG-13 - Teens 13 or older,3761,https://myanimelist.net/anime/3088/Tokyo_Marble_Chocolate
2339,2339,3040,Touhou Niji Sousaku Doujin Anime: Musou Kakyou,7.17,9743,OVA,4,Finished Airing,"Dec 29, 2008 to Oct 24, 2021",,,Maikaze,"None found, add some","None found, add some",Game,,Vampire,,22 min. per ep.,PG-13 - Teens 13 or older,3149,https://myanimelist.net/anime/9874/Touhou_Niji_Sousaku_Doujin_Anime__Musou_Kakyou
2340,2340,3041,Wan Jie Xian Zong 4th Season,7.17,550,ONA,48,Finished Airing,"Sep 14, 2020 to Feb 18, 2021",,,Tencent Penguin Pictures,"None found, add some",Ruo Hong Culture,Web manga,"Action, Fantasy, Romance",,,8 min. per ep.,PG-13 - Teens 13 or older,10611,https://myanimelist.net/anime/42898/Wan_Jie_Xian_Zong_4th_Season
2341,2341,3042,Yes! Precure 5,7.17,5517,TV,49,Finished Airing,"Feb 4, 2007 to Jan 27, 2008",Winter 2007,Unknown,Asahi Broadcasting,"None found, add some",Toei Animation,Original,"Action, Fantasy",School,Shoujo,24 min. per ep.,G - All Ages,4670,https://myanimelist.net/anime/1932/Yes_Precure_5
2342,2342,3043,Yes! Precure 5 GoGo!,7.17,3336,TV,48,Finished Airing,"Feb 3, 2008 to Jan 25, 2009",Winter 2008,Sundays at 08:30 (JST),Asahi Broadcasting,"None found, add some",Toei Animation,Original,"Action, Fantasy",School,Shoujo,24 min. per ep.,G - All Ages,5673,https://myanimelist.net/anime/3692/Yes_Precure_5_GoGo
2343,2343,3044,Youkai Apartment no Yuuga na Nichijou,7.17,21938,TV,26,Finished Airing,"Jul 3, 2017 to Dec 25, 2017",Summer 2017,Mondays at 23:00 (JST),"TMS Entertainment, Kodansha, Asmik Ace, JR East Marketing & Communications, Sumitomo","None found, add some",Shin-Ei Animation,Novel,"Slice of Life, Supernatural",,,23 min. per ep.,PG-13 - Teens 13 or older,2277,https://myanimelist.net/anime/35220/Youkai_Apartment_no_Yuuga_na_Nichijou
2344,2344,3045,Yu☆Gi☆Oh!: Duel Monsters GX,7.17,112431,TV,180,Finished Airing,"Oct 6, 2004 to Mar 26, 2008",Fall 2004,Unknown,"TV Tokyo, Toei Animation, Nihon Ad Systems","4Kids Entertainment, Flatiron Film Company",Gallop,Manga,"Action, Comedy, Fantasy",Game,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,989,https://myanimelist.net/anime/482/Yu☆Gi☆Oh__Duel_Monsters_GX
2345,2345,3046,Aoharu x Kikanjuu,7.17,92894,TV,12,Finished Airing,"Jul 3, 2015 to Sep 18, 2015",Summer 2015,Fridays at 01:46 (JST),"TBS, DAX Production, chara-ani.com, Sony Music Communications, King Records, NichiNare",Sentai Filmworks,Brain's Base,Manga,"Action, Comedy, Sports",,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,928,https://myanimelist.net/anime/30205/Aoharu_x_Kikanjuu
2346,2346,3047,Arabian Nights: Sindbad no Bouken (TV),7.17,3111,TV,52,Finished Airing,"Oct 1, 1975 to Sep 29, 1976",Fall 1975,Wednesdays at 19:00 (JST),Studio Jack,"None found, add some",Nippon Animation,Book,"Adventure, Fantasy, Romance",,,25 min. per ep.,G - All Ages,6580,https://myanimelist.net/anime/2825/Arabian_Nights__Sindbad_no_Bouken_TV
2347,2347,3048,Black Jack: Futari no Kuroi Isha,7.17,1723,Movie,1,Finished Airing,"Dec 17, 2005",,,"SKY Perfect Well Think, Nippon Television Network","None found, add some",Tezuka Productions,Manga,,,,1 hr. 37 min.,PG-13 - Teens 13 or older,7547,https://myanimelist.net/anime/1983/Black_Jack__Futari_no_Kuroi_Isha
2348,2348,3049,Blood-C: The Last Dark,7.17,43322,Movie,1,Finished Airing,"Jun 2, 2012",,,"Aniplex, Dentsu, Shochiku, Kadokawa Shoten, Mainichi Broadcasting System, Dwango",Funimation,Production I.G,Original,"Action, Horror, Supernatural",Vampire,,1 hr. 46 min.,R+ - Mild Nudity,1844,https://myanimelist.net/anime/10681/Blood-C__The_Last_Dark
2349,2349,3050,Cencoroll,7.17,41345,Movie,1,Finished Airing,"Jul 28, 2009",,,"Aniplex, Think Corporation",Aniplex of America,"None found, add some",Original,"Action, Sci-Fi",,,26 min.,PG-13 - Teens 13 or older,1781,https://myanimelist.net/anime/3087/Cencoroll
2350,2350,3051,Cyber City Oedo 808,7.17,9191,OVA,3,Finished Airing,"Jun 21, 1990 to Oct 4, 1991",,,Japan Home Video,"Central Park Media, Discotek Media",Madhouse,Original,"Action, Adventure, Sci-Fi",Police,,43 min. per ep.,R - 17+ (violence & profanity),3800,https://myanimelist.net/anime/1352/Cyber_City_Oedo_808
2351,2351,3052,Date A Live III,7.17,156730,TV,12,Finished Airing,"Jan 11, 2019 to Mar 29, 2019",Winter 2019,Fridays at 21:30 (JST),"Nippon Columbia, Kadokawa",Funimation,J.C.Staff,Light novel,"Comedy, Romance, Sci-Fi",,,24 min. per ep.,R - 17+ (violence & profanity),575,https://myanimelist.net/anime/36633/Date_A_Live_III
2352,2352,3053,Days (TV),7.17,57079,TV,24,Finished Airing,"Jul 2, 2016 to Dec 18, 2016",Summer 2016,Sundays at 02:58 (JST),"Dentsu, Animax, Mainichi Broadcasting System, Pony Canyon, Kodansha, Tokyo MX, Lawson HMV Entertainment, BS11, Animatic, Techno Sound",Ponycan USA,MAPPA,Manga,,School,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,1380,https://myanimelist.net/anime/32494/Days_TV
2353,2353,3054,Deadman Wonderland,7.17,609112,TV,12,Finished Airing,"Apr 17, 2011 to Jul 3, 2011",Spring 2011,Sundays at 01:00 (JST),"Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx, AMG MUSIC",Funimation,Manglobe,Manga,"Action, Horror, Sci-Fi, Supernatural",,Shounen,24 min. per ep.,R - 17+ (violence & profanity),92,https://myanimelist.net/anime/6880/Deadman_Wonderland
2354,2354,3055,Detective Conan: Conan vs. Kid - Jet Black Sniper,7.17,1165,Movie,1,Finished Airing,"Jul 28, 2006",,,"None found, add some","None found, add some","None found, add some",Unknown,"Adventure, Comedy, Mystery",Police,Shounen,16 min.,PG - Children,7409,https://myanimelist.net/anime/9786/Detective_Conan__Conan_vs_Kid_-_Jet_Black_Sniper
2355,2355,3056,Digimon Adventure tri. 5: Kyousei,7.17,23224,Movie,1,Finished Airing,"Sep 30, 2017",,,Sonilude,"None found, add some",Toei Animation,Original,"Action, Adventure, Comedy, Drama",,,1 hr. 36 min.,PG-13 - Teens 13 or older,2719,https://myanimelist.net/anime/34962/Digimon_Adventure_tri_5__Kyousei
2356,2356,3057,Doraemon Movie 32: Nobita to Kiseki no Shima - Animal Adventure,7.17,2821,Movie,1,Finished Airing,"Mar 3, 2012",,,Tokyo Movie Shinsha,"None found, add some","None found, add some",Unknown,"Adventure, Comedy, Fantasy",,,1 hr. 40 min.,PG - Children,7423,https://myanimelist.net/anime/11053/Doraemon_Movie_32__Nobita_to_Kiseki_no_Shima_-_Animal_Adventure
2357,2357,3058,Doraemon: Nobita's the Night Before a Wedding,7.17,1370,Movie,1,Finished Airing,"Mar 6, 1999",,,"None found, add some","None found, add some","None found, add some",Unknown,,,,26 min.,PG - Children,8988,https://myanimelist.net/anime/2660/Doraemon__Nobitas_the_Night_Before_a_Wedding
2358,2358,3059,Fate/Grand Order: Zettai Majuu Sensen Babylonia - Initium Iter,7.17,30657,Special,1,Finished Airing,"Aug 4, 2019",,,"Aniplex, Notes, Delightworks","None found, add some",CloverWorks,Game,"Action, Fantasy, Supernatural",,,27 min.,PG-13 - Teens 13 or older,2475,https://myanimelist.net/anime/40206/Fate_Grand_Order__Zettai_Majuu_Sensen_Babylonia_-_Initium_Iter
2359,2359,3060,Galaxy Angel Z,7.17,4402,TV,9,Finished Airing,"Feb 3, 2002 to Mar 31, 2002",Winter 2002,Sundays at 09:30 (JST),"Bandai Visual, Broccoli","Nozomi Entertainment, Bandai Entertainment",Madhouse,Original,"Comedy, Sci-Fi",,,24 min. per ep.,PG - Children,5570,https://myanimelist.net/anime/652/Galaxy_Angel_Z
2360,2360,3061,Genius Party,7.17,11494,Movie,7,Finished Airing,"Jul 7, 2007",,,"None found, add some","None found, add some",Studio 4°C,Original,"Action, Avant Garde, Fantasy, Romance, Sci-Fi",,,14 min. per ep.,R+ - Mild Nudity,3174,https://myanimelist.net/anime/3508/Genius_Party
2361,2361,3062,Gingitsune,7.17,21317,TV,12,Finished Airing,"Oct 7, 2013 to Dec 23, 2013",Fall 2013,Mondays at 01:05 (JST),"TV Tokyo, Lantis, MediaNet, Pony Canyon, Movic, AT-X, KlockWorx, Glovision, Shueisha",Sentai Filmworks,Diomedéa,Manga,"Slice of Life, Supernatural",,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,2498,https://myanimelist.net/anime/18411/Gingitsune
2362,2362,3063,Harukanaru Toki no Naka de: Maihitoyo,7.17,1691,Movie,1,Finished Airing,"Aug 19, 2006",,,"None found, add some","None found, add some",Yumeta Company,Visual novel,"Drama, Fantasy, Romance, Supernatural",Historical,Shoujo,1 hr. 40 min.,PG-13 - Teens 13 or older,6907,https://myanimelist.net/anime/1906/Harukanaru_Toki_no_Naka_de__Maihitoyo
2363,2363,3064,Ixion Saga DT,7.17,39844,TV,25,Finished Airing,"Oct 8, 2012 to Apr 1, 2013",Fall 2012,Unknown,"Sotsu, Genco","None found, add some",Brain's Base,Game,"Action, Comedy, Fantasy",,,24 min. per ep.,PG-13 - Teens 13 or older,1644,https://myanimelist.net/anime/14765/Ixion_Saga_DT
2364,2364,3065,K: Seven Stories Movie 6 - Circle Vision - Nameless Song,7.17,4115,Movie,1,Finished Airing,"Dec 1, 2018",,,"None found, add some",VIZ Media,GoHands,Original,"Action, Supernatural",Super Power,,58 min.,PG-13 - Teens 13 or older,4397,https://myanimelist.net/anime/37307/K__Seven_Stories_Movie_6_-_Circle_Vision_-_Nameless_Song
2365,2365,3066,Kai Byoui Ramune,7.17,21782,TV,12,Finished Airing,"Jan 10, 2021 to Mar 28, 2021",Winter 2021,Sundays at 01:30 (JST),"Kodansha, King Records","None found, add some",Platinum Vision,Manga,"Comedy, Supernatural",Psychological,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,2448,https://myanimelist.net/anime/42822/Kai_Byoui_Ramune
2366,2366,3067,Kaze no Youjinbou,7.17,2441,TV,25,Finished Airing,"Oct 2, 2001 to Mar 26, 2002",Fall 2001,Unknown,"None found, add some",Bandai Entertainment,Studio Pierrot,Original,"Action, Drama, Mystery",,Shounen,23 min. per ep.,R - 17+ (violence & profanity),4951,https://myanimelist.net/anime/1145/Kaze_no_Youjinbou
2367,2367,3068,Koi to Yobu ni wa Kimochi Warui,7.17,74173,TV,12,Finished Airing,"Apr 5, 2021 to Jun 14, 2021",Spring 2021,Mondays at 22:00 (JST),"BS Fuji, Hokkaido Cultural Broadcasting, Amusement Media Academy, Ichijinsha, Kanetsu Investment, Sonilude, Toyo Recording, BloomZ, AMG Entertainment, MediaNet Pictures, Christmas Holly, Miyazaki Broadcasting, C-one","None found, add some",Nomad,Web manga,"Comedy, Romance",,,23 min. per ep.,PG-13 - Teens 13 or older,1037,https://myanimelist.net/anime/41103/Koi_to_Yobu_ni_wa_Kimochi_Warui
2368,2368,3069,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Tachikoma na Hibi,7.17,8697,Special,26,Finished Airing,"Sep 10, 2004 to Sep 27, 2006",,,"None found, add some",Bandai Entertainment,Production I.G,Unknown,"Comedy, Sci-Fi",Mecha,,1 min. per ep.,PG - Children,4170,https://myanimelist.net/anime/3485/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG_-_Tachikoma_na_Hibi
2369,2369,3070,Kuroko no Basket: Oshaberi Shiyou ka,7.17,4626,Special,1,Finished Airing,"Jan 27, 2017",,,"None found, add some","None found, add some",Production I.G,Manga,"Comedy, Sports",School,Shounen,15 min.,PG-13 - Teens 13 or older,4753,https://myanimelist.net/anime/34784/Kuroko_no_Basket__Oshaberi_Shiyou_ka
2370,2370,3071,Kuroshitsuji II,7.17,285859,TV,12,Finished Airing,"Jul 2, 2010 to Sep 17, 2010",Summer 2010,Unknown,"Aniplex, Square Enix, Mainichi Broadcasting System",Funimation,A-1 Pictures,Manga,"Action, Comedy, Supernatural",,Shounen,24 min. per ep.,R - 17+ (violence & profanity),338,https://myanimelist.net/anime/6707/Kuroshitsuji_II
2371,2371,3072,Lady Georgie,7.17,3636,TV,45,Finished Airing,"Apr 9, 1983 to Feb 25, 1984",Spring 1983,Saturdays at 19:00 (JST),"TV Asahi, Asatsu DK","None found, add some",Tokyo Movie Shinsha,Manga,"Drama, Romance",Historical,Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,5713,https://myanimelist.net/anime/2542/Lady_Georgie
2372,2372,3073,Love Hina Final Selection,7.17,14359,OVA,1,Finished Airing,"Sep 5, 2001",,,"None found, add some",Bandai Entertainment,Xebec,Unknown,"Comedy, Romance, Ecchi",Harem,,28 min.,PG-13 - Teens 13 or older,3385,https://myanimelist.net/anime/3247/Love_Hina_Final_Selection
2373,2373,3074,Love Live! School Idol Festival All Stars,7.17,1294,ONA,1,Finished Airing,"Sep 19, 2018",,,"None found, add some","None found, add some",Sunrise,Other,,Music,,4 min.,PG-13 - Teens 13 or older,7813,https://myanimelist.net/anime/40246/Love_Live_School_Idol_Festival_All_Stars
2374,2374,3075,Maria-sama ga Miteru 4th Specials,7.17,2278,Special,11,Finished Airing,"Mar 25, 2009 to Aug 21, 2009",,,"None found, add some",Nozomi Entertainment,Studio Deen,Light novel,,,,1 min. per ep.,PG - Children,7023,https://myanimelist.net/anime/6299/Maria-sama_ga_Miteru_4th_Specials
2375,2375,3076,Aikatsu Friends!,7.16,2454,TV,50,Finished Airing,"Apr 5, 2018 to Mar 28, 2019",Spring 2018,Thursdays at 18:25 (JST),"TV Tokyo, Dentsu, Echoes","None found, add some",Bandai Namco Pictures,Game,,,Shoujo,24 min. per ep.,PG - Children,5390,https://myanimelist.net/anime/37204/Aikatsu_Friends
2376,2376,3077,Bleach: Memories in the Rain,7.16,63890,Special,1,Finished Airing,"Dec 18, 2004",,,"None found, add some","None found, add some",Studio Pierrot,Manga,"Action, Adventure, Drama, Supernatural",,Shounen,29 min.,PG-13 - Teens 13 or older,1507,https://myanimelist.net/anime/762/Bleach__Memories_in_the_Rain
2377,2377,3078,Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,7.16,65685,ONA,2,Finished Airing,"Aug 16, 2020",,,"None found, add some",Funimation,Bones,Manga,,Super Power,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,1375,https://myanimelist.net/anime/42603/Boku_no_Hero_Academia__Ikinokore_Kesshi_no_Survival_Kunren
2378,2378,3079,Boogiepop wa Warawanai,7.16,27519,TV,12,Finished Airing,"Jan 5, 2000 to Mar 22, 2000",Winter 2000,Thursdays at 01:45 (JST),"VAP, d-rights",Nozomi Entertainment,Madhouse,Light novel,"Avant Garde, Drama, Horror, Mystery, Supernatural",Psychological,,24 min. per ep.,R+ - Mild Nudity,1535,https://myanimelist.net/anime/369/Boogiepop_wa_Warawanai
2379,2379,3080,Choujigen Game Neptune The Animation OVA,7.16,3138,OVA,3,Currently Airing,"Jul 8, 2019 to ?",,,Frontier Works,"None found, add some",Okuruto Noboru,Game,"Action, Comedy, Fantasy, Sci-Fi",,,26 min. per ep.,PG-13 - Teens 13 or older,5276,https://myanimelist.net/anime/39638/Choujigen_Game_Neptune_The_Animation_OVA
2380,2380,3081,Chuukan Kanriroku Tonegawa,7.16,10203,TV,24,Finished Airing,"Jul 4, 2018 to Dec 26, 2018",Summer 2018,Wednesdays at 00:00 (JST),"VAP, Half H.P Studio, Nippon Television Network, Nippon Television Music",Sentai Filmworks,Madhouse,Manga,"Comedy, Drama",,Seinen,23 min. per ep.,PG-13 - Teens 13 or older,3086,https://myanimelist.net/anime/37338/Chuukan_Kanriroku_Tonegawa
2381,2381,3082,Dae Jang Geum: Jang Geum's Dream,7.16,1146,TV,26,Finished Airing,"Oct 29, 2005 to Apr 29, 2006",Fall 2005,Unknown,Heewon Entertainment,"None found, add some","None found, add some",Other,"Adventure, Comedy, Gourmet",Historical,,24 min. per ep.,PG - Children,8057,https://myanimelist.net/anime/1778/Dae_Jang_Geum__Jang_Geums_Dream
2382,2382,3083,Dantalian no Shoka: Ibarahime,7.16,10323,OVA,1,Finished Airing,"Aug 9, 2012",,,"TV Tokyo, Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx","None found, add some",Gainax,Light novel,"Action, Mystery",Historical,,24 min.,PG-13 - Teens 13 or older,4061,https://myanimelist.net/anime/12879/Dantalian_no_Shoka__Ibarahime
2383,2383,3084,Doraemon Movie 17: Nobita to Ginga Express,7.16,3884,Movie,1,Finished Airing,"Mar 2, 1996",,,"None found, add some","None found, add some",Shin-Ei Animation,Unknown,,,,1 hr. 37 min.,PG - Children,6570,https://myanimelist.net/anime/2675/Doraemon_Movie_17__Nobita_to_Ginga_Express
2384,2384,3085,Doraemon Movie 23: Nobita to Robot Kingdom,7.16,4695,Movie,1,Finished Airing,"Mar 9, 2002",,,"TV Asahi, Shogakukan-Shueisha Productions","None found, add some","None found, add some",Unknown,"Adventure, Comedy, Fantasy",,,1 hr. 21 min.,PG - Children,6165,https://myanimelist.net/anime/2655/Doraemon_Movie_23__Nobita_to_Robot_Kingdom
2385,2385,3086,Dr. Slump: Arale-chan,7.16,3966,TV,243,Finished Airing,"Apr 8, 1981 to Feb 19, 1986",Spring 1981,Wednesdays at 19:00 (JST),"Fuji TV, Harmony Gold","None found, add some",Toei Animation,Manga,"Comedy, Sci-Fi, Slice of Life",,Shounen,25 min. per ep.,PG-13 - Teens 13 or older,4886,https://myanimelist.net/anime/2222/Dr_Slump__Arale-chan
2386,2386,3087,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",7.16,106694,Special,1,Finished Airing,"Apr 21, 2005",,,VAP,ADV Films,Arms,Manga,"Drama, Horror, Supernatural, Ecchi",Psychological,Seinen,25 min.,R+ - Mild Nudity,1030,https://myanimelist.net/anime/376/Elfen_Lied__Tooriame_nite_Arui_wa_Shoujo_wa_Ikani_Shite_Sono_Shinjou_ni_Itatta_ka_-_Regenschauer
2387,2387,3088,Genshiken Nidaime OVA,7.16,7717,OVA,1,Finished Airing,"Dec 20, 2013",,,"None found, add some","None found, add some",Production I.G,Manga,"Comedy, Slice of Life",Parody,,23 min.,R - 17+ (violence & profanity),4472,https://myanimelist.net/anime/19159/Genshiken_Nidaime_OVA
2388,2388,3089,Giant Gorg,7.16,959,TV,26,Finished Airing,"Apr 5, 1984 to Sep 27, 1984",Spring 1984,Unknown,"None found, add some",Discotek Media,Sunrise,Original,"Action, Adventure, Sci-Fi",Mecha,,25 min. per ep.,PG-13 - Teens 13 or older,7203,https://myanimelist.net/anime/3327/Giant_Gorg
2389,2389,3090,Gundam Build Fighters: GM no Gyakushuu,7.16,4102,ONA,1,Finished Airing,"Aug 25, 2017",,,Sotsu,"None found, add some",Sunrise,Original,"Action, Sci-Fi",Mecha,,32 min.,PG-13 - Teens 13 or older,5937,https://myanimelist.net/anime/35982/Gundam_Build_Fighters__GM_no_Gyakushuu
2390,2390,3091,"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari! Season 2",7.16,12681,TV,23,Finished Airing,"Oct 6, 2018 to Mar 30, 2019",Fall 2018,Saturdays at 17:30 (JST),"Aniplex, Capcom",Funimation,CloverWorks,Game,"Comedy, Drama, Mystery",Police,,24 min. per ep.,PG-13 - Teens 13 or older,3220,https://myanimelist.net/anime/37490/Gyakuten_Saiban__Sono_Shinjitsu_Igi_Ari_Season_2
